Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
b84cf66b953156bfd1a04a8c8a60c354;14/08/2023;14/08/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;BA;DPF/VDC/BA                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
ddf998eea227e77df2296de679b45fe6;14/08/2023;14/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;RO;DPF/VLA/RO                                                      ;Nao;Bolívia                                                                                                                         ;0;0;0;0;R$3.950.500,00;;;;0;0;0;0;0;0;0;0;0;0
b414462ff79947991da4a52d9bdb9f7e;14/08/2023;14/08/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SE;SR/PF/SE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
306859c770e51e02b80304a0a2f4dcb3;13/08/2023;13/08/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
13bf702cad3eaa41e04093cd22a9a8e7;13/08/2023;13/08/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
d856467cc092113054ef31d8ed42dd0d;13/08/2023;13/08/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
ca42cba923ff6937e19c14bdd3b0408d;13/08/2023;13/08/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
ede16ceb0c9d7241b84e3210bccb30ca;12/08/2023;12/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$485.789,00;;;;0;0;0;0;0;0;0;0;0;0
e4ee9e4d91cb0f8397b44d68bc74869f;06/07/2023;11/08/2023;Operacao Comum   ;Crimes Contra o Patrimônio                                                                                                      ;BA;SR/PF/BA                                                        ;Nao;                                                                                                                                ;0;4;0;4;;;;;0;0;0;0;0;0;0;0;0;0
e06235df5c45e6060e4b9659a9ef5cd9;08/08/2023;11/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;AC;DPF/CZS/AC                                                      ;Nao;Peru                                                                                                                            ;2;0;0;0;R$15.305,00;;;;0;0;0;0;0;0;0;0;0;0
fee4a43d54163f6d40a1540c712a66fb;11/08/2023;11/08/2023;Operacao Comum   ;Tráfico de Drogas                                                                                                               ;MS;GISEFAC/DPF/PPA/MS                                              ;Nao;Paraguai                                                                                                                        ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
a7b5706619f4413bf6eb3c1e7ca69d16;11/08/2023;11/08/2023;Operacao Simples ;Tráfico de Armas                                                                                                                ;MS;DPF/NVI/MS                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$12.097,00;;;;0;0;0;0;0;0;0;0;0;0
467416e41a27859a78aa474ae0677218;11/08/2023;11/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;BA;SR/PF/BA                                                        ;Nao;                                                                                                                                ;1;0;0;0;R$15.200,00;;;;0;0;0;0;0;0;0;0;0;0
d204fdb77012eed0621f32340d2b0730;11/08/2023;11/08/2023;Operacao de Apoio;Crimes de Corrupção                                                                                                             ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
2a171585d9d3f813c2c99a39501651c6;15/06/2023;10/08/2023;Operacao Especial;Tráfico de Drogas                                                                                                               ;RS;DPF/SMA/RS                                                      ;Nao;                                                                                                                                ;0;2;0;12;R$188.338,00;;;;0;0;0;0;0;0;0;0;0;0
a8491e5f4d8b7d0bc059a5a35d0e5bd2;26/06/2023;10/08/2023;Operacao Especial;Tráfico de Drogas                                                                                                               ;PB;SR/PF/PB                                                        ;Nao;                                                                                                                                ;0;0;0;20;R$180.586,00;;R$4.055.001,00;;0;0;0;0;0;0;0;0;0;0
15d5afa909938c5bc7e9616fce4ba73d;20/07/2023;10/08/2023;Operacao Especial;Tráfico de Armas                                                                                                                ;AP;SR/PF/AP                                                        ;Nao;                                                                                                                                ;1;0;0;2;;;;;0;0;0;0;0;0;0;0;0;0
eade6d2188902a89847556e02f1e897d;10/08/2023;10/08/2023;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;CE;DPF/JNE/CE                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
20b1d25366f5201b6bd7984c1cf78b04;10/08/2023;10/08/2023;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;RS;DPF/SAG/RS                                                      ;Nao;Argentina                                                                                                                       ;1;0;0;0;R$2.960,00;;;;0;0;0;0;0;0;0;0;0;0
4b127aa4c7df2ccbd32f20a1dc5819fc;10/08/2023;10/08/2023;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$238.423,00;;;;0;0;0;0;0;0;0;0;0;0
